sentence_id,source_canonical,generated_headline,rules_applied_count,events_triggered,success,error
115,Azhar said he met Sangeeta in an ad shoot in 1985 and it was love at first sight.,Azhar say he meet Sangeeta in ad shoot in 1985 and it was love at first sight ,4,FORM-CHG:said→say|FORM-CHG:met→meet|FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True,
116,₹1.35 crore was seized and 83 people were arrested in a tennis match-fixing probe in Spain.,₹ 1.35 crore was seized and 83 people were arrested in tennis match - fixing probe in Spain ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
117,"A NASA spacecraft captured Earth, the Moon, and an asteroid in a single picture.","NASA spacecraft capture Earth , Moon , and asteroid in single picture ",6,FW-DEL:a→ABSENT|FORM-CHG:captured→capture|FW-DEL:the→ABSENT|FW-DEL:an→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
118,Bhushan said it was a desperate move to stop an FIR against the Prime Minister regarding the CBI chief's removal.,Bhushan say it was desperate move to stop FIR against Prime Minister regarding CBI chief 's removal ,6,FORM-CHG:said→say|FW-DEL:a→ABSENT|FW-DEL:an→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
119,A woman thrashed her harasser and took him home to apologise in front of his wife.,woman thrash her harasser and take him home to apologise in front of his wife ,4,FW-DEL:a→ABSENT|FORM-CHG:thrashed→thrash|FORM-CHG:took→take|C-DEL:PERIOD→ABSENT,True,
120,A Chinese pilot was suspended and fined ₹1 lakh for allowing his wife in the cockpit.,Chinese pilot was suspended and fined ₹ 1 lakh for allowing his wife in cockpit ,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
121,"If Bezos' wealth is split equally, then his wife will be the richest woman.","If Bezos ' wealth is split equally , then his wife be richest woman ",3,FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
122,Director Farhad said that taking over 'Housefull 4' wasn't tough.,Director Farhad say that taking over ' Housefull 4 ' was n't tough ,2,FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
123,Lady Gaga will take down her song with a sexual abuse accused singer.,Lady Gaga take down her song with sexual abuse accused singer ,3,FW-DEL:will→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
124,The Supreme Court denied an urgent hearing on a plea against 'The Accidental...'.,Supreme Court deny urgent hearing on plea against ' Accidental ... ' ,6,FW-DEL:the→ABSENT|FORM-CHG:denied→deny|FW-DEL:an→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
125,"Karan said ""Timely conversations,"" and shared a picture from a Bollywood meet with the Prime Minister.","Karan say "" Timely conversations , "" and share picture from Bollywood meet with Prime Minister ",6,FORM-CHG:said→say|FORM-CHG:shared→share|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
126,An actress' sexual harassment claim against Weinstein was dismissed.,actress ' sexual harassment claim against Weinstein was dismissed ,2,FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True,
127,A bloodied seal with a plastic net around its neck was seen at a UK beach.,bloodied seal with plastic net around its neck was seen at UK beach ,4,FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
128,"The BJP has appointed Chouhan, Raje, and Singh as its party's national vice presidents.","BJP appointed Chouhan , Raje , and Singh as its party 's national vice presidents ",3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
129,Shinde said that Rahul respects women and holds them in high regard.,Shinde say that Rahul respect women and hold them in high regard ,4,FORM-CHG:said→say|FORM-CHG:respects→respect|FORM-CHG:holds→hold|C-DEL:PERIOD→ABSENT,True,
130,Elon Musk claims that the new Tesla Roadster will float above the ground.,Elon Musk claim that new Tesla Roadster float above ground ,5,FORM-CHG:claims→claim|FW-DEL:the→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
131,A biodegradable sensor to monitor blood flow in arteries was made.,biodegradable sensor to monitor blood flow in arteries was made ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
132,NASA has said that the Hubble Space Telescope's main camera has shut down.,NASA said that Hubble Space Telescope 's main camera shut down ,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
133,A study said that users over 65 years old are more likely to share fake news on Facebook.,study say that users over 65 years old are more likely to share fake news on Facebook ,3,FW-DEL:a→ABSENT|FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
134,CBSE has introduced two Mathematics levels for class 10 students.,CBSE introduced two Mathematics levels for class 10 students ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
135,The Taliban killed 32 members of Afghan security forces and militias.,Taliban kill 32 members of Afghan security forces and militias ,3,FW-DEL:the→ABSENT|FORM-CHG:killed→kill|C-DEL:PERIOD→ABSENT,True,
136,A Pakistani cyberstalker was jailed for harassing 200 lady doctors and nurses.,Pakistani cyberstalker was jailed for harassing 200 lady doctors and nurses ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
137,A Russian hunter shot his son dead after mistaking him for a moose.,Russian hunter shoot his son dead after mistaking him for moose ,4,FW-DEL:a→ABSENT|FORM-CHG:shot→shoot|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
138,"TCS's profit rose 24% to a record ₹8,105 crore in the December quarter.","TCS 's profit rise 24 % to record ₹ 8,105 crore in December quarter ",4,FORM-CHG:rose→rise|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
139,Prabhu said that India won't violate international laws in trade with Iran.,Prabhu say that India wo n't violate international laws in trade with Iran ,2,FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
140,Verma was removed as CBI chief by a PM-led panel and was made the DG of fire services.,Verma was removed as CBI chief by PM - led panel and was made DG of fire services ,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
141,The title of Cheat India was changed to Why Cheat India over a CBFC objection.,title of Cheat India was changed to Why Cheat India over CBFC objection ,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
142,Actor Ajith's cut-out fell down during a milk pouring event in Tamil Nadu and five people were injured.,Actor Ajith 's cut - out fall down during milk pouring event in Tamil Nadu and five people were injured ,3,FORM-CHG:fell→fall|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
143,Raja said that Imran Khan compared Kohli to Sachin at the oath-taking function.,Raja say that Imran Khan compare Kohli to Sachin at oath - taking function ,4,FORM-CHG:said→say|FORM-CHG:compared→compare|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
144,"A report said that Kohli is India's most valued celebrity brand at ₹1,200 crore.","report say that Kohli is India 's most valued celebrity brand at ₹ 1,200 crore ",3,FW-DEL:a→ABSENT|FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
145,An Australian cricketer dropped a catch into his own face and was left bloodied.,Australian cricketer drop catch into his own face and was left bloodied ,4,FW-DEL:an→ABSENT|FORM-CHG:dropped→drop|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
146,Chidambaram said the world will take note of the cry of the IAS topper who quit.,Chidambaram say world take note of cry of IAS topper who quit ,7,FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:quit→quit|C-DEL:PERIOD→ABSENT,True,
147,A Karnataka auto driver was killed by another driver for charging lower fares.,Karnataka auto driver was killed by another driver for charging lower fares ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
148,Tyre killers were damaged due to traffic the day after installation in Noida.,Tyre killers were damaged due to traffic day after installation in Noida ,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
149,A report said Big B and Aishwarya were approached for a Mani Ratnam film.,report say Big B and Aishwarya were approached for Mani Ratnam film ,4,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
150,Salman Khan will start shooting for 'Dabangg 3'.,Salman Khan start shooting for ' Dabangg 3 ' ,2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
151,"Sara will star opposite Varun in the 'Coolie No. 1' remake, according to a report.","Sara star opposite Varun in ' Coolie No . 1 ' remake , according to report ",4,FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
152,A report said a former Facebook worker who criticised its data policy has joined Apple.,report say former Facebook worker who criticise its data policy joined Apple ,6,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:a→ABSENT|FORM-CHG:criticised→criticise|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
153,Apple Maps has added turn-by-turn navigation for Indian users.,Apple Maps added turn - by - turn navigation for Indian users ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
154,Xiaomi lost $6 billion of market value in just three days.,Xiaomi lose $ 6 billion of market value in just three days ,2,FORM-CHG:lost→lose|C-DEL:PERIOD→ABSENT,True,
155,Shivpal Yadav said there is no chance of going back to the Samajwadi Party.,Shivpal Yadav say there be no chance of going back to Samajwadi Party ,4,FORM-CHG:said→say|FORM-CHG:is→be|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
156,The West Bengal Chief Minister said the state will not contribute 40% of funds for the Ayushman scheme.,West Bengal Chief Minister say state not contribute 40 % of funds for Ayushman scheme ,6,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
157,"Prakash Raj defended Rahul by saying, ""He is not against women.""","Prakash Raj defend Rahul by saying , "" He is not against women . """,1,FORM-CHG:defended→defend,True,
158,China has offered Tesla CEO Elon Musk permanent residency.,China offered Tesla CEO Elon Musk permanent residency ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
159,"A jailed ex-Nissan chief is down with fever, so interrogation has been halted.","jailed ex - Nissan chief is down with fever , so interrogation been halted ",3,FW-DEL:a→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
160,The first proof of white dwarf stars turning into crystals was found.,first proof of white dwarf stars turning into crystals was found ,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
161,Airport-like lounges at New Delhi railway station will be built by March.,Airport - like lounges at New Delhi railway station be built by March ,2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
162,The Sri Lankan Prime Minister said the country is struggling to pay foreign debt of $5.9 billion.,Sri Lankan Prime Minister say country struggling to pay foreign debt of $ 5.9 billion ,5,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:is→ABSENT|C-DEL:PERIOD→ABSENT,True,
163,A 33-foot tunnel used to smuggle drugs was found near the US-Mexico border.,33 - foot tunnel used to smuggle drugs was found near US - Mexico border ,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
164,Trump misspelled 'forest' as he cut funds to tackle the California fire.,Trump misspelled ' forest ' as he cut funds to tackle California fire ,3,FORM-CHG:cut→cut|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
165,"The GST Council hiked the composition scheme, which was limited to ₹1.5 crore.","GST Council hike composition scheme , which was limited to ₹ 1.5 crore ",4,FW-DEL:the→ABSENT|FORM-CHG:hiked→hike|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
166,The Reserves panel Chairman said that the RBI is accountable to the government.,Reserves panel Chairman say that RBI is accountable to government ,5,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
167,Former CM Sheila Dikshit has taken over as Delhi Congress chief.,Former CM Sheila Dikshit taken over as Delhi Congress chief ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
168,Neha said that Angad revealed everything meant to be hidden on her show.,Neha say that Angad reveal everything meant to be hidden on her show ,3,FORM-CHG:said→say|FORM-CHG:revealed→reveal|C-DEL:PERIOD→ABSENT,True,
169,Sushant said that paid campaigners were used to give the #MeToo movement a burst.,Sushant say that paid campaigners were used to give # MeToo movement burst ,4,FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
170,PTI reported that the CBI DIG who probed Asthana is going to quit the investigation.,PTI report that CBI DIG who probe Asthana going to quit investigation ,6,FORM-CHG:reported→report|FW-DEL:the→ABSENT|FORM-CHG:probed→probe|FW-DEL:is→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
171,Hardik's father said he is an innocent boy and wanted to entertain on the talk show row.,Hardik 's father say he is innocent boy and want to entertain on talk show row ,5,FORM-CHG:said→say|FW-DEL:an→ABSENT|FORM-CHG:wanted→want|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
172,A 130-year-old crocodile named 'Gangaram' died and 500 villagers attended the funeral.,130 - year - old crocodile named ' Gangaram ' die and 500 villagers attend funeral ,5,FW-DEL:a→ABSENT|FORM-CHG:died→die|FORM-CHG:attended→attend|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
173,A 68-year-old man was arrested for sexually assaulting a 3-year-old girl in Tamil Nadu.,68 - year - old man was arrested for sexually assaulting 3 - year - old girl in Tamil Nadu ,3,FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
174,BJP MP Kirron Kher made faces in the Lok Sabha and the video went viral.,BJP MP Kirron Kher make faces in Lok Sabha and video go viral ,5,FORM-CHG:made→make|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:went→go|C-DEL:PERIOD→ABSENT,True,
175,A man shot at a 10-year-old girl when she asked if his gun was a toy.,man shot at 10 - year - old girl when she ask if his gun was toy ,5,FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:asked→ask|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
176,A woman visited the same ATM for 17 days and caught the thief who cheated her.,woman visit same ATM for 17 days and catch thief who cheat her ,7,FW-DEL:a→ABSENT|FORM-CHG:visited→visit|FW-DEL:the→ABSENT|FORM-CHG:caught→catch|FW-DEL:the→ABSENT|FORM-CHG:cheated→cheat|C-DEL:PERIOD→ABSENT,True,
177,Protests broke out in Bihar after a teen girl was found beheaded as her kin alleged rape.,Protests break out in Bihar after teen girl was found beheaded as her kin alleged rape ,3,FORM-CHG:broke→break|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
178,"Kanimozhi asked the RS Deputy Chairman, ""Can you speak in a language I understand?""","Kanimozhi ask RS Deputy Chairman , "" you speak in language I understand ? """,5,FORM-CHG:asked→ask|FW-DEL:the→ABSENT|FW-DEL:can→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:understand→understand,True,
179,A SpiceJet passenger was caught carrying 22 live cartridges in Pune.,SpiceJet passenger was caught carrying 22 live cartridges in Pune ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
180,"Twenty bodies, of which 17 were burned, were found near the US-Mexico border.","Twenty bodies , of which 17 were burned , were found near US - Mexico border ",2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
181,"Ranveer said, ""I was born to do Gully Boy and only I could pull it off.""","Ranveer say , "" I was born to do Gully Boy and only I pull it off . """,2,FORM-CHG:said→say|FW-DEL:could→ABSENT,True,
182,"Madhuri Dixit said, ""There is no substitute for hard work.""","Madhuri Dixit say , "" There be no substitute for hard work . """,2,FORM-CHG:said→say|FORM-CHG:is→be,True,
183,The owner of Cambridge Analytica ignored a data request and was fined ₹13.5 lakh.,owner of Cambridge Analytica ignore data request and was fined ₹ 13.5 lakh ,4,FW-DEL:the→ABSENT|FORM-CHG:ignored→ignore|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
184,Instagram has added a feature on iOS to post on multiple accounts.,Instagram added feature on iOS to post on multiple accounts ,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
185,Google Search has added a new feature to find past searches.,Google Search added new feature to find past searches ,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
186,Rahul said the Prime Minister was in a 'tearing hurry' to sack the CBI chief due to Rafale.,Rahul say Prime Minister was in ' tearing hurry ' to sack CBI chief due to Rafale ,5,FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
187,Mufti said she was disappointed when misogyny is normalised in politics.,Mufti say she was disappointed when misogyny is normalised in politics ,2,FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
188,The Prime Minister said not many know how much Congress culture had damaged India's defence.,Prime Minister say not many know how much Congress culture damaged India 's defence ,5,FW-DEL:the→ABSENT|FORM-CHG:said→say|FORM-CHG:know→know|FW-DEL:had→ABSENT|C-DEL:PERIOD→ABSENT,True,
189,The High Court has rejected Lalu Prasad's bail plea in the fodder scam cases.,High Court rejected Lalu Prasad 's bail plea in fodder scam cases ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
190,The government's 10% quota bill has been challenged in the Supreme Court.,government 's 10 % quota bill been challenged in Supreme Court ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
191,The US Coast Guard told staff to try babysitting to survive the government shutdown.,US Coast Guard tell staff to try babysitting to survive government shutdown ,4,FW-DEL:the→ABSENT|FORM-CHG:told→tell|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
192,Jet Airways has proposed late debt repayments to creditors.,Jet Airways proposed late debt repayments to creditors ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
193,Bank of Baroda will increase the minimum balance limit by 100%.,Bank of Baroda increase minimum balance limit by 100 % ,3,FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
194,"The Oscars 2019 will be held without a host for the first time in 30 years, according to a report.","Oscars 2019 be held without host for first time in 30 years , according to report ",6,FW-DEL:the→ABSENT|FW-DEL:will→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
195,Mumbai Police tweeted a road safety meme from Ranveer's 'Gully Boy'.,Mumbai Police tweet road safety meme from Ranveer 's ' Gully Boy ' ,3,FORM-CHG:tweeted→tweet|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
196,The CoA chief is considering a two-game ban on Pandya and Rahul for offensive comments.,CoA chief considering two - game ban on Pandya and Rahul for offensive comments ,4,FW-DEL:the→ABSENT|FW-DEL:is→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
197,An Australian man was arrested for sending a suspicious package to the Indian consulate.,Australian man was arrested for sending suspicious package to Indian consulate ,4,FW-DEL:an→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
198,The GST exemption limit was doubled to ₹40 lakh in relief to small firms.,GST exemption limit was doubled to ₹ 40 lakh in relief to small firms ,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
199,A thief fleeing with jewellery fell from the 9th floor of a building and died.,thief fleeing with jewellery fall from 9th floor of building and die ,6,FW-DEL:a→ABSENT|FORM-CHG:fell→fall|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:died→die|C-DEL:PERIOD→ABSENT,True,
200,The government has said that not making Hindi mandatory and the media report is ‘mischievous’.,government said that not making Hindi mandatory and media report is ‘ mischievous ’ ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
201,VK Singh has said that Pakistan’s ban on Indian content will not end contact among people.,VK Singh said that Pakistan ’s ban on Indian content not end contact among people ,3,FW-DEL:has→ABSENT|FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
202,Army chief Gen Bipin Rawat has said that LGBTQ issues are not acceptable in the Army.,Army chief Gen Bipin Rawat said that LGBTQ issues are not acceptable in Army ,3,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
203,A minister has said that the J&K IAS officer who quit had failed to condemn terror.,minister said that J&K IAS officer who quit failed to condemn terror ,6,FW-DEL:a→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:quit→quit|FW-DEL:had→ABSENT|C-DEL:PERIOD→ABSENT,True,
204,A BJP youth wing member was arrested in the Bulandshahr violence case.,BJP youth wing member was arrested in Bulandshahr violence case ,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
205,A woman in Uttar Pradesh delivered a baby on the floor as no doctor was available.,woman in Uttar Pradesh deliver baby on floor as no doctor was available ,5,FW-DEL:a→ABSENT|FORM-CHG:delivered→deliver|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
206,A man from Tamil Nadu has said that he was denied immigration at Mumbai airport for not knowing Hindi.,man from Tamil Nadu said that he was denied immigration at Mumbai airport for not knowing Hindi ,3,FW-DEL:a→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
207,A menstruating woman died after being forced to stay in a hut in Nepal.,menstruating woman die after being forced to stay in hut in Nepal ,4,FW-DEL:a→ABSENT|FORM-CHG:died→die|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
208,Google Assistant will offer real-time language translation.,Google Assistant offer real - time language translation ,2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
209,A smart e-bike that connects to Amazon's Alexa was unveiled at CES.,smart e - bike that connect to Amazon 's Alexa was unveiled at CES ,3,FW-DEL:a→ABSENT|FORM-CHG:connects→connect|C-DEL:PERIOD→ABSENT,True,
210,Sushma Swaraj has said that Rahul's remark on Sitharaman is a new low in politics.,Sushma Swaraj said that Rahul 's remark on Sitharaman is new low in politics ,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
211,"Mufti has asked if the government is ready for talks with the Taliban, then why not with J&K separatists.","Mufti asked if government is ready for talks with Taliban , then why not with J&K separatists ",4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
212,The Sena has said that the Prime Minister who advised youth to fry pakodas gave reservation.,Sena said that Prime Minister who advise youth to fry pakodas give reservation ,6,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:advised→advise|FORM-CHG:gave→give|C-DEL:PERIOD→ABSENT,True,
213,The NCW has sent notice to Rahul after his 'PM hid behind woman' remark.,NCW sent notice to Rahul after his ' PM hide behind woman ' remark ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FORM-CHG:hid→hide|C-DEL:PERIOD→ABSENT,True,
214,The Shiv Sena has asked where jobs will come from regarding the 10% quota.,Shiv Sena asked where jobs come from regarding 10 % quota ,5,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
215,Ola's parent company has raised $74 million and is valued at $5.7 billion.,Ola 's parent company raised $ 74 million and is valued at $ 5.7 billion ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
216,A Bangladeshi man was jailed over photoshopped pictures of Manmohan Singh and others.,Bangladeshi man was jailed over photoshopped pictures of Manmohan Singh and others ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
217,A BJP leader was shot dead in Bihar's Muzaffarpur district.,BJP leader was shot dead in Bihar 's Muzaffarpur district ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
218,The Army chief has said that about 300 terrorists are waiting to enter India.,Army chief said that about 300 terrorists waiting to enter India ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:are→ABSENT|C-DEL:PERIOD→ABSENT,True,
219,Robbers looted ₹25 lakh in cash and thrashed passengers in a Delhi-Bihar train.,Robbers loot ₹ 25 lakh in cash and thrash passengers in Delhi - Bihar train ,4,FORM-CHG:looted→loot|FORM-CHG:thrashed→thrash|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
220,Great Learning’s AI program is being promoted to prepare for jobs of the future.,Great Learning ’s AI program being promoted to prepare for jobs of future ,3,FW-DEL:is→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
221,One of the five Supreme Court judges in the Ayodhya dispute has opted out of the case.,One of five Supreme Court judges in Ayodhya dispute opted out of case ,5,FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
222,Huawei has announced the launch of the Huawei Y9 2019 in India.,Huawei announced launch of Huawei Y9 2019 in India ,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
223,A 36-year-old woman dyed her hair grey and claimed that she entered the temple.,36 - year - old woman dye her hair grey and claim that she enter temple ,6,FW-DEL:a→ABSENT|FORM-CHG:dyed→dye|FORM-CHG:claimed→claim|FORM-CHG:entered→enter|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
224,A team needed 6 runs to win off the last ball but won with 1 ball to spare.,team need 6 runs to win off last ball but win with 1 ball to spare ,5,FW-DEL:a→ABSENT|FORM-CHG:needed→need|FW-DEL:the→ABSENT|FORM-CHG:won→win|C-DEL:PERIOD→ABSENT,True,
225,Tesla has been sued for a faulty battery after two teenagers died in a 186-kmph crash.,Tesla been sued for faulty battery after two teenagers die in 186 - kmph crash ,5,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:died→die|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
226,Repeated radio signals have been detected for the second time from outside the Milky Way.,Repeated radio signals been detected for second time from outside Milky Way ,4,FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
227,A woman in Maharashtra was arrested for sexual abuse of her friend's 11-year-old son.,woman in Maharashtra was arrested for sexual abuse of her friend 's 11 - year - old son ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
228,Sidhu has received Z+ security and a Land Cruiser from the Punjab Chief Minister's fleet.,Sidhu received Z+ security and Land Cruiser from Punjab Chief Minister 's fleet ,4,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
