sentence_id,direction,source,target,rule_chain,token_changes,num_rules,events,success
198,C2H,The GST exemption limit was doubled to ₹40 lakh in relief to small firms.,GST exemption limit was doubled to ₹ 40 lakh in relief to small firms ,FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
199,C2H,A thief fleeing with jewellery fell from the 9th floor of a building and died.,thief fleeing with jewellery fall from 9th floor of building and die ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,A⇒<DELETED> → fell⇒fall → the⇒<DELETED> → a⇒<DELETED> → died⇒die → .⇒<DELETED>,6,FW-DEL:a→ABSENT|FORM-CHG:fell→fall|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:died→die|C-DEL:PERIOD→ABSENT,True
200,C2H,The government has said that not making Hindi mandatory and the media report is ‘mischievous’.,government said that not making Hindi mandatory and media report is ‘ mischievous ’ ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
201,C2H,VK Singh has said that Pakistan’s ban on Indian content will not end contact among people.,VK Singh said that Pakistan ’s ban on Indian content not end contact among people ,FW-DEL-AUX-HAS → FW-DEL-AUX-WILL → C-DEL-PERIOD,has⇒<DELETED> → will⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:has→ABSENT|FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True
202,C2H,Army chief Gen Bipin Rawat has said that LGBTQ issues are not acceptable in the Army.,Army chief Gen Bipin Rawat said that LGBTQ issues are not acceptable in Army ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,has⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
203,C2H,A minister has said that the J&K IAS officer who quit had failed to condemn terror.,minister said that J&K IAS officer who quit failed to condemn terror ,FW-DEL-ARTICLE-A → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-AUX-HAD → C-DEL-PERIOD,A⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → quit⇒quit → had⇒<DELETED> → .⇒<DELETED>,6,FW-DEL:a→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:quit→quit|FW-DEL:had→ABSENT|C-DEL:PERIOD→ABSENT,True
204,C2H,A BJP youth wing member was arrested in the Bulandshahr violence case.,BJP youth wing member was arrested in Bulandshahr violence case ,FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,A⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
205,C2H,A woman in Uttar Pradesh delivered a baby on the floor as no doctor was available.,woman in Uttar Pradesh deliver baby on floor as no doctor was available ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,A⇒<DELETED> → delivered⇒deliver → a⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:a→ABSENT|FORM-CHG:delivered→deliver|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
206,C2H,A man from Tamil Nadu has said that he was denied immigration at Mumbai airport for not knowing Hindi.,man from Tamil Nadu said that he was denied immigration at Mumbai airport for not knowing Hindi ,FW-DEL-ARTICLE-A → FW-DEL-AUX-HAS → C-DEL-PERIOD,A⇒<DELETED> → has⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:a→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
207,C2H,A menstruating woman died after being forced to stay in a hut in Nepal.,menstruating woman die after being forced to stay in hut in Nepal ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → died⇒die → a⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FORM-CHG:died→die|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
208,C2H,Google Assistant will offer real-time language translation.,Google Assistant offer real - time language translation ,FW-DEL-AUX-WILL → C-DEL-PERIOD,will⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True
209,C2H,A smart e-bike that connects to Amazon's Alexa was unveiled at CES.,smart e - bike that connect to Amazon 's Alexa was unveiled at CES ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,A⇒<DELETED> → connects⇒connect → .⇒<DELETED>,3,FW-DEL:a→ABSENT|FORM-CHG:connects→connect|C-DEL:PERIOD→ABSENT,True
210,C2H,Sushma Swaraj has said that Rahul's remark on Sitharaman is a new low in politics.,Sushma Swaraj said that Rahul 's remark on Sitharaman is new low in politics ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-A → C-DEL-PERIOD,has⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
211,C2H,"Mufti has asked if the government is ready for talks with the Taliban, then why not with J&K separatists.","Mufti asked if government is ready for talks with Taliban , then why not with J&K separatists ",FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,has⇒<DELETED> → the⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
212,C2H,The Sena has said that the Prime Minister who advised youth to fry pakodas gave reservation.,Sena said that Prime Minister who advise youth to fry pakodas give reservation ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → advised⇒advise → gave⇒give → .⇒<DELETED>,6,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:advised→advise|FORM-CHG:gave→give|C-DEL:PERIOD→ABSENT,True
213,C2H,The NCW has sent notice to Rahul after his 'PM hid behind woman' remark.,NCW sent notice to Rahul after his ' PM hide behind woman ' remark ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → hid⇒hide → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FORM-CHG:hid→hide|C-DEL:PERIOD→ABSENT,True
214,C2H,The Shiv Sena has asked where jobs will come from regarding the 10% quota.,Shiv Sena asked where jobs come from regarding 10 % quota ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-AUX-WILL → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → will⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
215,C2H,Ola's parent company has raised $74 million and is valued at $5.7 billion.,Ola 's parent company raised $ 74 million and is valued at $ 5.7 billion ,FW-DEL-AUX-HAS → C-DEL-PERIOD,has⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
216,C2H,A Bangladeshi man was jailed over photoshopped pictures of Manmohan Singh and others.,Bangladeshi man was jailed over photoshopped pictures of Manmohan Singh and others ,FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
217,C2H,A BJP leader was shot dead in Bihar's Muzaffarpur district.,BJP leader was shot dead in Bihar 's Muzaffarpur district ,FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
218,C2H,The Army chief has said that about 300 terrorists are waiting to enter India.,Army chief said that about 300 terrorists waiting to enter India ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-AUX-ARE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → are⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:are→ABSENT|C-DEL:PERIOD→ABSENT,True
219,C2H,Robbers looted ₹25 lakh in cash and thrashed passengers in a Delhi-Bihar train.,Robbers loot ₹ 25 lakh in cash and thrash passengers in Delhi - Bihar train ,FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,looted⇒loot → thrashed⇒thrash → a⇒<DELETED> → .⇒<DELETED>,4,FORM-CHG:looted→loot|FORM-CHG:thrashed→thrash|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
220,C2H,Great Learning’s AI program is being promoted to prepare for jobs of the future.,Great Learning ’s AI program being promoted to prepare for jobs of future ,FW-DEL-AUX-IS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,is⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:is→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
221,C2H,One of the five Supreme Court judges in the Ayodhya dispute has opted out of the case.,One of five Supreme Court judges in Ayodhya dispute opted out of case ,FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,the⇒<DELETED> → the⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
222,C2H,Huawei has announced the launch of the Huawei Y9 2019 in India.,Huawei announced launch of Huawei Y9 2019 in India ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,has⇒<DELETED> → the⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
223,C2H,A 36-year-old woman dyed her hair grey and claimed that she entered the temple.,36 - year - old woman dye her hair grey and claim that she enter temple ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,A⇒<DELETED> → dyed⇒dye → claimed⇒claim → entered⇒enter → the⇒<DELETED> → .⇒<DELETED>,6,FW-DEL:a→ABSENT|FORM-CHG:dyed→dye|FORM-CHG:claimed→claim|FORM-CHG:entered→enter|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
224,C2H,A team needed 6 runs to win off the last ball but won with 1 ball to spare.,team need 6 runs to win off last ball but win with 1 ball to spare ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,A⇒<DELETED> → needed⇒need → the⇒<DELETED> → won⇒win → .⇒<DELETED>,5,FW-DEL:a→ABSENT|FORM-CHG:needed→need|FW-DEL:the→ABSENT|FORM-CHG:won→win|C-DEL:PERIOD→ABSENT,True
225,C2H,Tesla has been sued for a faulty battery after two teenagers died in a 186-kmph crash.,Tesla been sued for faulty battery after two teenagers die in 186 - kmph crash ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,has⇒<DELETED> → a⇒<DELETED> → died⇒die → a⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:died→die|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
226,C2H,Repeated radio signals have been detected for the second time from outside the Milky Way.,Repeated radio signals been detected for second time from outside Milky Way ,FW-DEL-AUX-HAVE → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,have⇒<DELETED> → the⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
227,C2H,A woman in Maharashtra was arrested for sexual abuse of her friend's 11-year-old son.,woman in Maharashtra was arrested for sexual abuse of her friend 's 11 - year - old son ,FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
228,C2H,Sidhu has received Z+ security and a Land Cruiser from the Punjab Chief Minister's fleet.,Sidhu received Z+ security and Land Cruiser from Punjab Chief Minister 's fleet ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,has⇒<DELETED> → a⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
229,C2H,A drug lord texted his wife saying he was going to give their 1-year-old daughter an AK-47.,drug lord texte his wife saying he going to give their 1 - year - old daughter AK-47 ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-AUX-WAS → FW-DEL-ARTICLE-AN → C-DEL-PERIOD,A⇒<DELETED> → texted⇒texte → was⇒<DELETED> → an⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:a→ABSENT|FORM-CHG:texted→texte|FW-DEL:was→ABSENT|FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True
230,C2H,Trump’s son has said that people can enjoy a day at the zoo because walls work.,Trump ’s son said that people enjoy day at zoo because walls work ,FW-DEL-AUX-HAS → FW-DEL-AUX-CAN → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,has⇒<DELETED> → can⇒<DELETED> → a⇒<DELETED> → the⇒<DELETED> → work⇒work → .⇒<DELETED>,6,FW-DEL:has→ABSENT|FW-DEL:can→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:work→work|C-DEL:PERIOD→ABSENT,True
231,C2H,New York's iconic 90-year-old Chrysler Building is up for sale.,New York 's iconic 90 - year - old Chrysler Building is up for sale ,C-DEL-PERIOD,.⇒<DELETED>,1,C-DEL:PERIOD→ABSENT,True
232,C2H,Air India has started using food stocked from India on return flights.,Air India started using food stocked from India on return flights ,FW-DEL-AUX-HAS → C-DEL-PERIOD,has⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
233,C2H,A crypto ransom of ₹73 crore was demanded for a Norway millionaire's wife.,crypto ransom of ₹ 73 crore was demanded for Norway millionaire 's wife ,FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
234,C2H,Amartya Sen has said there is no point in reservation if it covers the whole population.,Amartya Sen said there be no point in reservation if it cover whole population ,FW-DEL-AUX-HAS → FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,has⇒<DELETED> → is⇒be → covers⇒cover → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:has→ABSENT|FORM-CHG:is→be|FORM-CHG:covers→cover|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
235,C2H,The Congress has fielded Randeep Surjewala as its candidate for the Jind bypoll.,Congress fielded Randeep Surjewala as its candidate for Jind bypoll ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
236,C2H,"After Saumitra Khan, the TMC has also expelled Lok Sabha MP Anupam Hazra.","After Saumitra Khan , TMC also expelled Lok Sabha MP Anupam Hazra ",FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → C-DEL-PERIOD,the⇒<DELETED> → has⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
237,C2H,Three Assam ministers have resigned in protest against the citizenship bill.,Three Assam ministers resigned in protest against citizenship bill ,FW-DEL-AUX-HAVE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,have⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
238,C2H,An IIT-Madras team has created 'space fuel' to curb greenhouse gases.,IIT - Madras team created ' space fuel ' to curb greenhouse gases ,FW-DEL-ARTICLE-AN → FW-DEL-AUX-HAS → C-DEL-PERIOD,An⇒<DELETED> → has⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:an→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
239,C2H,A man was tied to an electricity pole and thrashed on suspicion of theft.,man was tied to electricity pole and thrash on suspicion of theft ,FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-AN → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,A⇒<DELETED> → an⇒<DELETED> → thrashed⇒thrash → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FW-DEL:an→ABSENT|FORM-CHG:thrashed→thrash|C-DEL:PERIOD→ABSENT,True
240,C2H,The Army has rescued 150 tourists in Sikkim who were stuck in sub-zero temperatures.,Army rescued 150 tourists in Sikkim who were stuck in sub - zero temperatures ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
241,C2H,"A man was stabbed on a Hyderabad street for not returning ₹5,000.","man was stabbed on Hyderabad street for not returning ₹ 5,000 ",FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
242,C2H,The Marathi literary body chief has resigned after the Sahgal invite row.,Marathi literary body chief resigned after Sahgal invite row ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
243,C2H,Afghanistan has said that ending the war without the Taliban talking to them is a 'dream'.,Afghanistan said that ending war without Taliban talking to them is ' dream ' ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,has⇒<DELETED> → the⇒<DELETED> → the⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
244,C2H,The President of Mexico has said that Trump's border wall debate is an internal US political matter.,President of Mexico said that Trump 's border wall debate is internal US political matter ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-AN → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → an⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True
245,C2H,The Finance Minister has said that unions are protesting on 'non-existent' issues regarding Bharat Bandh.,Finance Minister said that unions protesting on ' non - existent ' issues regarding Bharat Bandh ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-AUX-ARE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → are⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:are→ABSENT|C-DEL:PERIOD→ABSENT,True
246,C2H,The Rajya Sabha has cleared a 10% quota for the economically weak in the general category.,Rajya Sabha cleared 10 % quota for economically weak in general category ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → a⇒<DELETED> → the⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,6,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
247,C2H,"Rohit has said to Pant, ""Heard you are a good babysitter so I need one right now.""","Rohit said to Pant , "" hear you are good babysitter so I need one right now . """,FW-DEL-AUX-HAS → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA,has⇒<DELETED> → Heard⇒hear → a⇒<DELETED> → need⇒need,4,FW-DEL:has→ABSENT|FORM-CHG:Heard→hear|FW-DEL:a→ABSENT|FORM-CHG:need→need,True
248,C2H,Bihar spinner Aman has taken 68 wickets and broken Bedi's 44-year-old record.,Bihar spinner Aman taken 68 wickets and broken Bedi 's 44 - year - old record ,FW-DEL-AUX-HAS → C-DEL-PERIOD,has⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
249,C2H,A 21-year-old Olympic champion has said that his coach abused him since he was 17.,21 - year - old Olympic champion said that his coach abuse him since he was 17 ,FW-DEL-ARTICLE-A → FW-DEL-AUX-HAS → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,A⇒<DELETED> → has⇒<DELETED> → abused⇒abuse → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FW-DEL:has→ABSENT|FORM-CHG:abused→abuse|C-DEL:PERIOD→ABSENT,True
250,C2H,A US island is offering ₹91.6 lakh to two people to look after a lighthouse.,US island offering ₹ 91.6 lakh to two people to look after lighthouse ,FW-DEL-ARTICLE-A → FW-DEL-AUX-IS → FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → is⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FW-DEL:is→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
251,C2H,"IAS topper Omar has resigned, saying that bureaucracy's loss is politics' gain.","IAS topper Omar resigned , saying that bureaucracy 's loss is politics ' gain ",FW-DEL-AUX-HAS → C-DEL-PERIOD,has⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
252,C2H,"Rahul said to PM Modi, ""Be a man,"" after his 'PM hid behind woman' remark.","Rahul say to PM Modi , "" Be man , "" after his ' PM hide behind woman ' remark ",FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,said⇒say → a⇒<DELETED> → hid⇒hide → .⇒<DELETED>,4,FORM-CHG:said→say|FW-DEL:a→ABSENT|FORM-CHG:hid→hide|C-DEL:PERIOD→ABSENT,True
253,C2H,The Delhi High Court has remarked that a wife slapping a man cannot be instigated to commit suicide.,Delhi High Court remarked that wife slapping man not be instigated to commit suicide ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-A → FW-DEL-AUX-CAN → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → a⇒<DELETED> → a⇒<DELETED> → can⇒<DELETED> → .⇒<DELETED>,6,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|FW-DEL:can→ABSENT|C-DEL:PERIOD→ABSENT,True
254,C2H,A report suggests that the CBI Director has cancelled most transfer orders by the interim chief.,report suggest that CBI Director cancelled most transfer orders by interim chief ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,A⇒<DELETED> → suggests⇒suggest → the⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,6,FW-DEL:a→ABSENT|FORM-CHG:suggests→suggest|FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
255,C2H,India has allowed Bank Pasargad of Iran to open a branch in Mumbai.,India allowed Bank Pasargad of Iran to open branch in Mumbai ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-A → C-DEL-PERIOD,has⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
256,C2H,Kangana has denied any pressure regarding the clash of her film's release with the film Thackeray.,Kangana denied any pressure regarding clash of her film 's release with film Thackeray ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,has⇒<DELETED> → the⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
257,C2H,The Pakistan Supreme Court has ordered that they will not allow Indian TV shows as they damage culture.,Pakistan Supreme Court ordered that they not allow Indian TV show as they damage culture ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-AUX-WILL → FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → will⇒<DELETED> → shows⇒show → damage⇒damage → .⇒<DELETED>,6,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:will→ABSENT|FORM-CHG:shows→show|FORM-CHG:damage→damage|C-DEL:PERIOD→ABSENT,True
